type,lot,chemin,loc,sha256,symboles,statut
perimetre,7,workspaces/createur-de-fiches/AGENTS.md,79,fedcca13a37c9d10f47e7ede3126a4750ab11dd909d6d62488fd91390e0f1821,-1,todo
perimetre,7,workspaces/createur-de-fiches/CLAUDE.md,1,d5d6c817ff52ed7edcd72908c0c7d759a9f99787b8fd41ee597436eefebb57a2,-1,todo
perimetre,7,workspaces/createur-de-fiches/CONTEXT.md,41,270e8d25a1cf8b3f80f16652eade2ba70effc44358cb94a13459dfedb203f50a,-1,todo
perimetre,7,workspaces/createur-de-fiches/_core/audit/audit_fiche.py,214,a17dacb856ba9866bd71db436e66e6eb43c1744fa34d64b9a46d9c60a26aa428,7,todo
perimetre,7,workspaces/createur-de-fiches/_core/templates/brief.md,40,9c8b8a41c08e77d1eabd59dbf7658473e5a02acfec6edc941d5795fc08be325a,-1,todo
perimetre,7,workspaces/createur-de-fiches/_core/templates/extrait.md,18,38c6e771d498b9cca49f0cc1067d30dcbba6f927c535f8ad72abbca725984791,-1,todo
perimetre,7,workspaces/createur-de-fiches/_core/templates/source.md,25,3ff2b975bb7efa8c8179c84994d1f17bdbe07b454b8b4ab7178968512005cdd7,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/CONTEXT.md,50,23c2699ee66e9f77f0a34bb94544cc06cda1aa986a763d50aaf1b62f6b1094a3,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/assistant.yaml,54,ccc3e5bc1ef80a332ffd182e936b7b6c458354bebb42c59d6c9f64080a36d65c,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/bibliographe.yaml,32,8b4d2da84ee4942858be1bea9f96ff2ce908653afb672a91ed0abdc0fc0b27bf,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/extracteur.yaml,37,effda9fb3c371b65857122e760cc899e8a0c67b234fb77b4bbb4e84ae2c5c1c1,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/publicateur.yaml,25,572ec00bbd61cabb6c7c0fc76951aa52a16ea716087ae968b6d362f8ccd37b83,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/rechercheur.yaml,28,02ec5d1e53c4e0bfa2ce21c6337051cc32e06f343f98785dbd51dbd982d70d36,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/redacteur.yaml,32,1f12d2065b26d633170f6732564d6f29558c2f6af5c7165b2c2e273e2f4696f9,-1,todo
perimetre,7,workspaces/createur-de-fiches/agents/relecteur.yaml,30,7a525958a45cec5b20933c4dc9d8ec53bf5077da9a28ab64bc726438f87e7215,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/_example/00-brief.md,34,7db403d720d00d7b60929734baed664a52f40c01f3a2e4361c6cfcc4a981a777,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/_example/README.md,19,907a291601e73f6228684d9cfaad3bc05ee5130ddc986e9d43fe72dbb0c11645,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/_example/stages/02-sources-collectees/output/exemple-memoire-sommeil-ids.json,5,ecac9e4d8b4d3ea53bbeee2ca92b3b85fe746ddc36fa91542017ce702021e104,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/_example/stages/02-sources-collectees/output/exemple-memoire-sommeil-sources.md,59,3d2b8109edcc5b3853bd65af0edc305fdfa0184a9d9143dce52f617c81f1a84a,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/00-brief.md,36,1e4c4c6be54612208280941ce946b2b1359acde87254032ced5187aa9432396f,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/01-brief/output/stellaris-stellarator-centrale-fusion-brief.md,37,338f1d4e218ebbb9fb680283b58ec9a4cd1186e340b9ffd7845c7aea53d7a896,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/01-brief/output/stellaris-stellarator-centrale-fusion-card.json,16,da47bea8557d4bdf9b3bc23ea7038c7c757923709a60bf4e74504f0b6df6c33f,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/02-sources-collectees/output/stellaris-stellarator-centrale-fusion-ids.json,6,e427a0cff2d0f56ad80e51ea22fc632a2e7fdca9554558215fe6a1a5011906f4,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/02-sources-collectees/output/stellaris-stellarator-centrale-fusion-rejetees.md,4,4d26a52081e6c277761e2fdda439017f0595bc81f99156e812f9bb089ff72ecf,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/02-sources-collectees/output/stellaris-stellarator-centrale-fusion-sources.md,153,d675fbb31d5d187e7e0cbc58fda008730f6ecd07a8370ef492029d9d2a9da4e2,-1,todo
perimetre,7,workspaces/createur-de-fiches/runs/stellaris-stellarator-centrale-fusion/stages/03-annotations/output/stellaris-stellarator-centrale-fusion-annotations.md,22,f017eefc3e87e79cc7d4c0939ab802b1378134f4a29928b16de473bf78261ffa,-1,todo
